Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
37,136101,399465,642,20,2,11.197846297915255,240,0.37956254387561866,Bachelors,Full-time,Divorced,No,Yes,Business,No,0
47,103861,252051,730,241,10,27.376905717352013,36,0.007975387787614797,PhD,Unemployed,Single,Yes,No,Education,No,1
79,101740,413417,723,454,2,17.49970901517367,60,0.06781292354106654,Masters,Part-time,Single,No,No,Home,Yes,0
28,30524,126541,631,302,2,23.103063028267695,24,0.6461006956503801,PhD,Unemployed,Married,No,No,Home,Yes,0
75,146149,190648,737,595,17,24.542394832175706,12,0.6171786758876852,Masters,Full-time,Single,Yes,No,Home,Yes,0
72,140501,257353,473,594,16,10.913622215600487,24,0.7321110563239168,High School,Full-time,Divorced,No,No,Education,Yes,0
45,35611,272830,826,68,16,13.577135608291021,60,0.6836123487285997,PhD,Self-employed,Divorced,No,No,Business,No,0
42,29060,316507,325,128,14,25.605681457781674,12,0.5465404505918545,Bachelors,Self-employed,Divorced,No,Yes,Other,Yes,0
56,58303,360687,705,195,7,11.534405198598497,60,0.04186628584053027,Bachelors,Self-employed,Divorced,Yes,Yes,Auto,Yes,1
79,54711,132733,531,139,11,24.02411887010369,24,0.626278894389326,Masters,Unemployed,Divorced,Yes,No,Business,No,0
50,88340,176915,832,443,1,28.288777354658677,36,0.6764086486724484,Bachelors,Full-time,Married,Yes,No,Education,Yes,0
18,117974,96673,849,282,11,19.0731008189722,360,0.6392657166175636,PhD,Part-time,Divorced,Yes,Yes,Education,No,0
74,82728,455179,804,311,4,22.50719133610478,24,0.4067832282464209,High School,Self-employed,Single,Yes,No,Home,No,0
44,26246,43828,478,534,7,24.34782204919291,24,0.18632147091958534,Masters,Unemployed,Single,Yes,No,Business,No,0
79,142796,311748,431,276,15,25.506149818002633,24,0.6762639805509814,PhD,Self-employed,Single,Yes,Yes,Home,No,0
74,107263,273670,754,60,18,12.456546797847084,120,0.5817302477921108,Masters,Full-time,Single,No,No,Auto,No,0
69,26302,332054,647,318,12,2.486640316103947,60,0.7846089395110813,High School,Part-time,Married,No,No,Home,Yes,0
30,82506,26592,839,51,17,12.654411865865447,60,0.12455407820474634,Masters,Full-time,Single,Yes,Yes,Auto,Yes,0
58,56157,292126,705,152,1,20.538930663738604,240,0.18053166644164406,Bachelors,Unemployed,Married,No,Yes,Education,No,1
20,69917,263351,375,310,11,14.06016118764299,60,0.16943851990520217,Bachelors,Self-employed,Single,Yes,Yes,Home,Yes,0
56,111646,233041,791,543,1,22.719931374951557,240,0.6340318140970694,Masters,Full-time,Married,Yes,Yes,Home,No,0
23,98122,351877,493,566,15,11.352490454591253,120,0.14952583716009454,High School,Unemployed,Married,Yes,Yes,Other,Yes,0
25,39519,231008,461,388,10,19.407580092016858,36,0.05332786385864488,High School,Self-employed,Married,No,No,Education,Yes,0
44,95910,125982,646,547,7,6.406174340765263,240,0.798848645268503,Bachelors,Part-time,Single,Yes,No,Other,Yes,0
26,135430,257911,660,176,2,22.73171366270375,24,0.01985376915611932,High School,Full-time,Married,Yes,No,Auto,Yes,0
79,86324,69619,386,361,10,16.82518309557775,36,0.6681952481270925,Masters,Self-employed,Divorced,Yes,No,Auto,Yes,0
54,20408,161400,561,313,4,6.917867267851417,360,0.29229347324052224,PhD,Self-employed,Divorced,Yes,No,Education,Yes,0
50,74379,309623,513,96,12,9.465424031436411,120,0.6732923678062522,Masters,Self-employed,Single,No,Yes,Auto,Yes,0
68,40053,152175,561,212,19,22.709652548873137,60,0.443696392968916,Bachelors,Self-employed,Divorced,Yes,No,Education,No,0
59,146994,171963,582,136,11,14.9954358341841,240,0.7213049835890881,Bachelors,Full-time,Divorced,No,No,Auto,No,0
61,113723,142826,766,5,8,7.264911771399094,24,0.7409543891317014,Bachelors,Self-employed,Divorced,No,No,Business,No,0
41,66356,232055,679,108,18,29.05086452073863,12,0.007278545024620798,High School,Unemployed,Single,Yes,No,Home,Yes,0
32,25789,344581,661,546,11,21.73862557468975,360,0.06032974079423062,Masters,Full-time,Single,Yes,No,Business,Yes,0
76,112720,99540,748,38,11,28.75691014365409,12,0.2002869836566844,PhD,Self-employed,Divorced,No,Yes,Education,No,0
71,81656,336126,740,424,13,13.386046315449953,36,0.5354523330908013,Masters,Full-time,Single,No,No,Education,No,0
49,59028,103747,392,260,3,14.777909880059894,60,0.7106177572092048,PhD,Unemployed,Married,No,No,Business,Yes,0
49,79484,187994,723,425,12,27.040701269365556,12,0.36795356103517024,Masters,Unemployed,Divorced,No,No,Home,No,0
41,47154,311375,441,86,3,16.226430867116154,36,0.48557849301941236,Bachelors,Full-time,Single,Yes,No,Home,No,0
58,17336,30301,590,464,10,21.51108844526435,120,0.1507998822364489,PhD,Self-employed,Single,No,No,Other,No,1
69,118677,223724,731,75,17,8.31301344737037,36,0.6439734671053483,Masters,Self-employed,Divorced,No,No,Auto,No,0
66,82779,194783,348,470,2,13.955067592376576,360,0.7738624890827759,High School,Unemployed,Single,No,Yes,Other,Yes,0
79,34029,173395,601,413,17,4.580046108500298,36,0.21487914633167798,High School,Self-employed,Divorced,No,No,Home,No,0
66,74201,19752,489,456,16,6.973421040431889,360,0.39586076128043707,Masters,Unemployed,Single,Yes,Yes,Business,No,0
75,47265,492128,435,284,2,1.0273590427613015,36,0.06889288840509904,Bachelors,Self-employed,Married,Yes,Yes,Auto,No,0
69,117916,214277,703,238,6,2.138686497811147,24,0.44730932517037475,PhD,Unemployed,Divorced,Yes,No,Business,No,0
29,61197,361596,640,598,10,29.34123087213095,36,0.4022267534773445,Masters,Part-time,Married,No,No,Other,Yes,0
79,140733,145467,617,557,10,8.028257158966106,240,0.11554918732406208,High School,Self-employed,Divorced,No,No,Education,No,0
56,86907,218029,662,371,8,20.236010575616056,36,0.35365297049446004,PhD,Self-employed,Single,Yes,Yes,Business,No,0
19,143876,384381,681,494,1,25.333891265188736,24,0.26728372166925063,High School,Self-employed,Married,Yes,No,Other,No,0
20,79435,57273,532,44,13,16.969153317860364,24,0.4174647002441515,High School,Full-time,Single,No,No,Other,No,0
66,55631,259503,643,400,9,5.441190502434729,120,0.4685234683430394,Masters,Self-employed,Divorced,Yes,No,Other,No,0
54,144038,92878,848,246,10,22.115376682748824,360,0.006796462885767607,High School,Full-time,Divorced,No,Yes,Education,Yes,0
66,35103,268039,828,596,15,18.407290892887907,60,0.6088047863596443,PhD,Full-time,Divorced,No,Yes,Education,No,0
73,79772,120968,482,449,5,22.206267091073876,12,0.5704114334893927,Bachelors,Unemployed,Divorced,No,No,Education,No,0
34,141108,378844,340,484,16,23.32265206285553,12,0.2930291089652178,Masters,Full-time,Divorced,No,Yes,Auto,Yes,0
76,29382,77559,696,17,13,29.286900662857608,36,0.04234874845505461,PhD,Full-time,Married,No,No,Education,No,0
66,99291,11699,793,288,18,17.63333512077459,120,0.6039460318280403,Masters,Part-time,Divorced,No,Yes,Education,Yes,0
19,116195,197133,632,413,11,10.907592268027454,36,0.764140128382506,High School,Self-employed,Single,Yes,No,Education,No,0
19,149828,10715,426,234,9,19.805472150106876,12,0.19212127681761137,High School,Full-time,Married,Yes,Yes,Business,Yes,1
45,35609,20169,300,415,16,2.984780568036158,360,0.2588196909896303,PhD,Self-employed,Single,Yes,No,Education,Yes,0
71,90683,119413,467,498,2,27.024522231326003,360,0.14705031158545198,PhD,Full-time,Divorced,No,No,Auto,No,0
40,139714,410379,318,114,2,4.462049328807707,360,0.4615488986758718,Bachelors,Unemployed,Single,Yes,Yes,Other,Yes,0
54,145330,120264,631,233,12,10.50744229868873,24,0.12387311571796396,PhD,Part-time,Married,No,Yes,Business,No,0
49,86315,268926,755,539,8,24.656616038157505,60,0.28495515476910355,PhD,Full-time,Married,No,Yes,Home,Yes,0
50,92834,220249,408,10,9,18.322058971590643,120,0.5576104111474104,Masters,Self-employed,Married,No,Yes,Education,Yes,1
18,141205,125481,567,205,12,12.41543008804582,24,0.44809278640747874,High School,Unemployed,Single,No,Yes,Other,No,0
36,29153,216400,744,246,9,14.729634121875621,60,0.3091700514623482,PhD,Self-employed,Married,Yes,No,Other,Yes,1
79,91325,36585,539,558,10,25.78187440286323,120,0.3361996814460335,Bachelors,Unemployed,Single,Yes,No,Business,No,0
19,70318,293826,600,126,2,10.860127195736872,120,0.44968870609858363,PhD,Part-time,Divorced,Yes,Yes,Home,Yes,0
70,146886,179936,402,146,16,26.219840859552967,12,0.004691782309729043,High School,Unemployed,Divorced,No,No,Auto,Yes,0
61,130033,393136,549,117,7,3.555898498324053,24,0.06280789476288788,PhD,Self-employed,Single,Yes,No,Other,No,0
43,91077,347560,752,381,2,23.52715467905029,120,0.7050064542104093,Masters,Self-employed,Married,Yes,Yes,Other,No,0
49,105474,449330,819,411,1,25.578881358587353,240,0.06230319127303261,High School,Full-time,Single,Yes,No,Other,Yes,0
23,148515,390954,452,583,19,6.2727119322828235,360,0.5654428769684041,PhD,Unemployed,Single,No,No,Other,No,0
49,88319,39067,473,362,4,13.480049438793813,120,0.7360305312872422,Masters,Self-employed,Single,Yes,Yes,Business,No,0
72,140885,174757,642,508,2,5.799493465246013,60,0.2165468834413849,High School,Full-time,Divorced,No,Yes,Home,Yes,0
21,124777,254334,730,136,14,21.491519740832317,12,0.29639314964761143,PhD,Part-time,Single,Yes,No,Other,Yes,0
72,32368,19073,623,174,2,16.525085273788044,36,0.45513712467577305,Masters,Self-employed,Divorced,No,Yes,Auto,No,1
28,106751,37035,719,288,15,19.42437705454131,360,0.7053671757108678,Bachelors,Full-time,Single,Yes,No,Auto,Yes,0
73,42306,197049,784,480,12,6.698122041730123,12,0.7535244698083362,Masters,Self-employed,Divorced,Yes,Yes,Education,No,0
76,52219,234782,711,18,5,7.140629999520166,36,0.5916505984890145,Bachelors,Unemployed,Single,Yes,Yes,Other,No,1
34,75279,91373,383,194,7,2.2034224397872846,24,0.06929580868375522,PhD,Full-time,Single,No,Yes,Other,No,0
55,68028,346506,412,329,10,10.339958520676163,24,0.5353233244278807,Masters,Unemployed,Married,Yes,Yes,Other,No,0
41,119263,91517,631,174,14,17.232595178676572,120,0.3282429774981297,Bachelors,Part-time,Married,Yes,No,Other,No,0
22,15126,66450,677,448,14,25.880112505922536,240,0.37656079959284927,High School,Unemployed,Single,No,Yes,Other,No,0
69,67329,11382,340,353,5,20.34089597630174,24,0.039318712276141636,Masters,Full-time,Single,No,Yes,Auto,Yes,0
51,42632,398653,404,498,18,13.62649337859279,120,0.15284971147708656,PhD,Self-employed,Single,No,No,Home,No,0
23,124945,203043,501,140,14,28.640483317429997,360,0.6324108860269182,High School,Full-time,Single,No,No,Home,Yes,0
39,70176,458828,749,92,2,21.858110816699124,12,0.36316706643828783,Bachelors,Unemployed,Married,Yes,No,Education,No,0
28,149869,222427,565,238,12,27.97479088301395,24,0.2413297933049191,Masters,Unemployed,Divorced,Yes,No,Auto,Yes,1
65,49560,62929,509,204,6,16.300051224892805,12,0.30721525917196657,Masters,Self-employed,Single,No,Yes,Other,Yes,0
33,91589,234483,417,559,4,8.508223969001047,12,0.6835196106605442,PhD,Part-time,Married,Yes,No,Home,Yes,0
50,37116,229590,676,432,13,2.5319739045769376,240,0.5991992139239656,High School,Full-time,Single,No,Yes,Business,No,0
26,147717,362008,839,244,4,22.056460693031664,24,0.21785231774486624,Masters,Self-employed,Single,Yes,No,Business,Yes,0
77,139085,144401,383,316,14,4.517786942160489,12,0.09400147216989865,Masters,Self-employed,Divorced,No,Yes,Business,Yes,1
76,132718,257677,753,294,16,9.780478719887048,240,0.20159857731525738,High School,Self-employed,Single,Yes,No,Other,No,0
23,34256,288313,813,281,4,16.441656328633023,240,0.736605160843787,Masters,Full-time,Single,No,Yes,Other,Yes,1
33,115158,88468,686,16,1,17.368081045612684,24,0.4652710702798043,High School,Full-time,Divorced,No,Yes,Education,Yes,0
46,134719,35594,649,70,13,18.416912712626946,240,0.42678416699582633,High School,Full-time,Divorced,Yes,No,Education,No,0
20,83244,471173,595,268,4,5.821404580141318,24,0.47711487975396927,High School,Part-time,Divorced,Yes,Yes,Education,Yes,0
37,71264,192703,557,324,18,12.012384739827814,24,0.2928226125972122,PhD,Self-employed,Divorced,Yes,Yes,Business,Yes,1
77,72545,46033,380,304,6,18.898632586392033,36,0.6456856162556103,High School,Unemployed,Married,No,Yes,Other,No,0
76,54224,64133,567,450,3,29.12474707437976,12,0.4186289994401999,High School,Unemployed,Married,Yes,Yes,Business,Yes,0
53,112945,467381,718,6,13,22.10130299329097,60,0.09339832221503644,Bachelors,Self-employed,Married,No,No,Education,Yes,0
36,28224,74861,534,313,16,27.75550895572478,24,0.10325209986325037,Bachelors,Unemployed,Single,Yes,Yes,Other,Yes,0
43,55738,184362,610,102,5,23.104149691111136,12,0.4294873172020947,PhD,Part-time,Divorced,Yes,Yes,Auto,Yes,1
20,78731,488247,656,192,4,18.159792097879613,360,0.7492561744566714,High School,Part-time,Divorced,No,No,Home,No,0
36,23070,294894,512,573,8,6.568677704953992,240,0.24668169734095902,Bachelors,Full-time,Married,No,No,Home,No,0
37,141161,489371,348,528,19,20.333883904882878,120,0.6956329350873747,Bachelors,Full-time,Single,Yes,No,Education,No,0
49,23666,41461,426,170,14,19.078007412837305,24,0.6112764692631035,Masters,Full-time,Single,No,Yes,Business,No,0
24,72761,468016,522,536,7,18.471605943260727,240,0.1982499543255255,High School,Full-time,Single,No,Yes,Auto,Yes,0
69,51368,79222,578,250,14,15.203790171658982,240,0.029072598652993966,Bachelors,Full-time,Married,Yes,No,Other,No,0
58,56914,113020,707,386,6,16.331041515688995,240,0.0814778121139062,PhD,Unemployed,Single,No,Yes,Business,No,0
50,142738,287370,804,206,12,10.698833286425018,240,0.5827951470779522,Masters,Unemployed,Single,Yes,No,Education,Yes,0
57,82526,269865,593,540,16,16.060068086626792,240,0.15973579043251737,Masters,Full-time,Single,Yes,Yes,Business,Yes,0
56,34956,450370,576,415,17,6.729121264675869,24,0.29701673640431503,High School,Part-time,Divorced,No,No,Education,Yes,0
35,61240,21609,737,379,13,24.350057523450925,360,0.4013593328051399,High School,Unemployed,Married,Yes,Yes,Home,No,0
57,136008,446346,406,143,14,6.387531686262527,60,0.5803745347601302,Masters,Part-time,Divorced,No,No,Home,Yes,0
18,109270,131513,719,24,7,3.464022406794526,36,0.0905849786073003,PhD,Part-time,Divorced,Yes,Yes,Business,Yes,0
28,19757,204981,728,72,14,13.651134764357563,240,0.32509312422196923,High School,Self-employed,Married,No,No,Auto,Yes,0
45,34097,105211,674,92,15,20.090915745675794,240,0.38805832731415635,High School,Self-employed,Divorced,No,Yes,Other,No,0
74,118892,187321,372,504,12,13.6937879230727,36,0.43266165117723177,Masters,Full-time,Single,No,Yes,Education,No,0
42,85480,443111,329,597,17,9.02586982658795,360,0.6546885131161734,Masters,Part-time,Single,No,Yes,Other,No,0
67,61163,488689,487,335,9,17.186964332822782,360,0.13734255603457354,High School,Unemployed,Single,No,No,Home,No,0
40,34816,399872,663,424,15,11.063067726953799,24,0.6462651614612979,Bachelors,Self-employed,Single,Yes,Yes,Auto,No,0
48,67853,388009,750,498,12,28.05316301367236,12,0.5543027421573218,High School,Self-employed,Married,Yes,Yes,Auto,No,1
47,111731,337664,494,363,2,27.75670904850359,120,0.44469665135916747,Bachelors,Part-time,Divorced,No,Yes,Other,No,0
59,77823,457956,455,198,5,15.568782779190768,120,0.5596222963220575,Masters,Self-employed,Divorced,Yes,No,Home,Yes,0
52,16759,327453,471,412,13,10.508635826529497,12,0.3296141911613251,Bachelors,Self-employed,Single,No,Yes,Other,Yes,0
24,107374,30984,340,338,8,22.376840004742533,24,0.11071806877449966,PhD,Unemployed,Single,No,No,Business,Yes,0
77,148554,119947,362,428,14,2.0646753610089323,120,0.5326121922122938,Masters,Part-time,Divorced,Yes,Yes,Auto,No,0
33,39442,205894,322,138,15,14.768301175265886,360,0.41973784534849784,High School,Self-employed,Married,Yes,No,Auto,No,0
43,108501,6901,659,541,11,10.753378433839673,36,0.5114998404342205,High School,Part-time,Divorced,No,No,Business,Yes,1
65,17079,163624,374,56,1,27.695540667974086,12,0.27039902482279204,Masters,Self-employed,Single,No,Yes,Home,Yes,1
74,148789,223317,417,231,3,1.3480877909077937,360,0.7254932618718688,Masters,Unemployed,Single,No,No,Auto,No,0
69,74676,294199,679,434,17,17.03163139583212,60,0.46989589486046157,PhD,Part-time,Married,No,No,Education,No,0
77,105397,169757,589,383,19,22.479243850932153,24,0.06832198743269906,Masters,Self-employed,Divorced,No,Yes,Education,No,0
66,87847,468181,739,559,14,15.065521638197197,12,0.35984319256354297,High School,Unemployed,Married,No,No,Home,No,0
19,108607,146788,306,193,8,3.476687874718928,120,0.6050848437949075,PhD,Self-employed,Married,Yes,No,Business,No,0
18,79077,115099,495,533,13,29.201380310809164,24,0.635307649385818,High School,Part-time,Single,No,No,Other,No,0
65,53258,12138,720,517,3,16.02230250990684,36,0.39567764221100704,Bachelors,Self-employed,Divorced,No,No,Home,No,0
79,134771,167370,492,184,5,18.81140108525133,24,0.7157980566650409,Masters,Part-time,Single,Yes,Yes,Other,No,0
29,53000,445328,447,291,9,7.861683698517712,24,0.21413474975543806,Bachelors,Part-time,Divorced,No,No,Home,Yes,1
22,41737,24429,501,334,6,15.021444468097311,36,0.3284789577906133,High School,Self-employed,Single,No,No,Education,No,0
54,26485,51200,743,115,2,13.445335266791334,240,0.718877528455176,Bachelors,Unemployed,Single,Yes,Yes,Business,No,0
49,53565,203380,718,48,13,3.1719794180575285,36,0.7170053731772632,Bachelors,Full-time,Divorced,No,Yes,Education,No,0
76,134614,442460,726,81,5,4.07865025287655,360,0.5485702150597448,High School,Unemployed,Divorced,Yes,No,Business,Yes,0
72,80155,249289,778,332,8,25.286703068944462,24,0.6871844376977762,High School,Unemployed,Single,No,Yes,Other,Yes,0
26,67487,246127,774,556,1,7.954778613991117,36,0.07101861356498614,Masters,Self-employed,Divorced,Yes,Yes,Home,No,0
58,144948,364412,425,334,12,6.653789873460286,240,0.6919959809662211,Bachelors,Unemployed,Single,Yes,Yes,Auto,Yes,0
52,27342,237513,694,531,11,15.642432086254038,360,0.25649592524018144,PhD,Unemployed,Divorced,Yes,Yes,Auto,Yes,0
36,55806,18347,624,220,7,23.293666809512874,12,0.14266520994257306,PhD,Full-time,Single,No,Yes,Business,Yes,1
65,63770,148992,691,322,15,2.7964490387906498,36,0.19149586907363708,High School,Unemployed,Single,No,Yes,Business,No,1
33,93623,32822,739,2,11,17.72742966950942,36,0.33437480641110967,High School,Full-time,Single,Yes,Yes,Education,No,0
20,118177,440875,503,205,16,4.457102842376628,24,0.2009536036835738,Bachelors,Self-employed,Married,Yes,Yes,Auto,No,0
37,146026,41108,785,39,3,2.0573704739429353,360,0.25645406881319927,High School,Full-time,Divorced,No,Yes,Education,No,0
41,90629,392099,330,58,14,2.5295746127043044,12,0.10798278885731367,PhD,Part-time,Single,No,No,Other,No,0
71,135993,483315,687,573,3,25.1907591380448,60,0.23694141244719882,Masters,Part-time,Married,No,No,Auto,No,1
73,141944,8967,733,506,1,4.421202025213786,60,0.45782705163360093,Masters,Full-time,Single,No,No,Other,No,0
50,120947,373863,675,571,15,2.3093895679564667,120,0.35348296647285116,Bachelors,Part-time,Married,No,No,Home,Yes,0
41,41399,12871,643,121,1,13.699096727144456,36,0.27737500898872897,Masters,Self-employed,Single,Yes,No,Education,No,1
69,143177,226371,742,478,17,25.47581068631872,36,0.5971617030856912,High School,Part-time,Single,No,Yes,Business,No,0
28,124575,209524,374,95,2,8.609842918189756,12,0.7148079771146544,High School,Full-time,Married,Yes,Yes,Auto,No,1
66,125904,206342,454,413,6,13.229665908251574,240,0.6054313783219176,High School,Self-employed,Married,No,No,Education,No,0
25,45678,165685,729,234,8,2.1577534443487854,60,0.26560056169414337,High School,Part-time,Divorced,Yes,No,Business,No,0
53,91218,29179,662,61,16,14.0232769099114,120,0.595553734270043,Bachelors,Self-employed,Divorced,Yes,Yes,Home,No,0
55,78230,252537,747,255,19,17.750779338476878,12,0.12158414597924097,Masters,Full-time,Married,No,No,Auto,No,0
57,89055,184260,533,560,1,17.556304558812197,36,0.10425439047303274,PhD,Part-time,Divorced,Yes,Yes,Other,No,0
37,87258,318243,561,347,3,10.64037407305659,60,0.27650162962892716,Masters,Self-employed,Married,Yes,No,Home,Yes,0
79,54986,36262,424,123,3,10.15046223923093,360,0.6461618952352457,High School,Self-employed,Divorced,Yes,Yes,Business,Yes,0
52,100595,341357,544,481,5,4.092084949161339,120,0.19707859779384151,PhD,Part-time,Single,Yes,No,Auto,No,1
65,116358,380551,841,316,12,11.637151298741783,24,0.050602727118943674,Bachelors,Self-employed,Divorced,No,Yes,Auto,No,0
79,79929,412484,784,503,12,3.885345397315975,60,0.10536762816508408,High School,Self-employed,Single,Yes,No,Home,Yes,0
42,88506,472082,421,47,13,23.231282396649497,120,0.6869959748236641,High School,Full-time,Single,No,No,Auto,No,0
52,49911,349413,424,408,9,29.02195463469739,12,0.5070266277978301,PhD,Full-time,Divorced,Yes,Yes,Business,No,0
42,102127,61545,848,135,7,29.1321592433345,24,0.20256093069598136,Bachelors,Full-time,Married,No,Yes,Home,Yes,0
46,128453,235555,469,200,4,26.08706188188642,120,0.4442366602625451,PhD,Full-time,Single,No,No,Other,No,0
35,99458,224894,423,249,19,18.422972330848953,120,0.4220636979402803,Bachelors,Full-time,Single,No,No,Home,No,0
63,27175,204218,334,313,19,21.32510522007252,36,0.524348782752529,High School,Full-time,Divorced,Yes,Yes,Home,No,0
35,134235,466182,386,367,6,9.270968277732008,240,0.18655004353729307,Masters,Part-time,Married,No,Yes,Other,Yes,0
19,69771,303066,500,428,13,19.292342185006,60,0.6915223897555182,High School,Full-time,Married,No,Yes,Business,Yes,0
71,142157,473580,668,479,11,14.213836933756447,36,0.24749484966401028,Masters,Self-employed,Divorced,Yes,No,Education,No,0
52,136300,43913,376,313,13,14.978502853531042,360,0.5553053231809896,Masters,Part-time,Married,No,No,Education,Yes,1
33,101925,360177,358,499,13,22.97552025087958,24,0.012899717097771914,Bachelors,Self-employed,Divorced,Yes,Yes,Other,Yes,1
78,81358,367936,730,354,15,9.175632312320298,240,0.2981257039153178,PhD,Full-time,Divorced,Yes,No,Business,Yes,0
58,62057,251497,799,484,13,10.223148739141077,120,0.28136785436704664,Bachelors,Full-time,Divorced,No,No,Auto,No,0
53,21150,449893,408,210,11,27.814611942730462,36,0.43478754286641164,High School,Self-employed,Single,Yes,Yes,Other,Yes,0
50,19425,496370,577,43,19,2.630504550678195,240,0.0581890094217572,PhD,Self-employed,Single,Yes,No,Education,Yes,0
21,31032,444057,367,540,8,15.083394653986872,360,0.6321050989808867,Masters,Self-employed,Single,Yes,Yes,Business,Yes,1
50,17198,178404,368,570,8,27.47122321182799,60,0.17422464141405483,Masters,Unemployed,Divorced,No,Yes,Home,No,0
31,133865,486278,464,582,10,18.700527226726553,360,0.5416302519056082,High School,Unemployed,Single,Yes,No,Business,Yes,0
38,38236,383007,788,91,16,16.845805152151833,24,0.6425696985952746,PhD,Unemployed,Single,Yes,No,Business,Yes,1
65,102955,489910,604,264,19,8.242581197651301,12,0.44950156499321053,High School,Unemployed,Single,Yes,Yes,Education,No,0
37,118145,157104,664,219,11,10.954989182869,36,0.5927065653775884,High School,Part-time,Divorced,No,Yes,Education,Yes,0
73,109914,169918,678,441,13,25.709404058336094,24,0.5294882497720045,Bachelors,Full-time,Divorced,Yes,Yes,Auto,Yes,0
25,117870,191546,642,400,9,17.217325821285286,12,0.2844238377216061,High School,Self-employed,Divorced,No,No,Auto,Yes,0
24,131243,45936,653,399,19,15.927523618946616,36,0.6470868312268523,PhD,Full-time,Single,Yes,Yes,Other,No,0
20,29596,161866,715,575,16,3.887811692660839,24,0.2357610959084224,High School,Self-employed,Married,No,Yes,Home,No,0
34,147351,193660,408,489,7,1.4648165371985704,360,0.45697033420121375,PhD,Full-time,Single,No,Yes,Auto,Yes,0
50,126496,203056,796,484,19,28.946870471924424,24,0.5963181913132316,Masters,Part-time,Single,No,Yes,Education,Yes,0
65,145273,444547,640,469,12,11.932598851318408,240,0.3031647278500061,High School,Unemployed,Divorced,Yes,No,Business,Yes,0
29,135674,226469,682,573,15,18.493178800885627,360,0.24221408609394005,PhD,Full-time,Divorced,Yes,No,Other,Yes,0
76,135307,29141,832,444,14,3.3117371224312646,36,0.3674768081382582,Masters,Self-employed,Single,Yes,Yes,Auto,Yes,0
68,34063,403290,599,268,11,20.81031428596835,24,0.654370795479323,PhD,Full-time,Single,No,No,Business,Yes,0
39,82642,138478,438,266,10,28.044434552472868,120,0.7439374105165318,Masters,Part-time,Married,Yes,No,Business,No,0
72,105093,98359,658,53,11,17.69429233692517,36,0.43606673028791215,Bachelors,Part-time,Married,Yes,No,Auto,Yes,0
39,50954,386423,798,527,6,4.657344348886906,24,0.5291729642589215,High School,Full-time,Divorced,No,Yes,Home,Yes,0
63,42856,155363,684,519,2,17.869924296730826,240,0.7226188977911314,High School,Unemployed,Married,Yes,No,Home,Yes,0
47,17573,42568,579,58,11,23.22406918003492,12,0.07883748113035392,Masters,Self-employed,Married,Yes,No,Other,No,0
55,50367,98539,782,39,19,12.786079560646542,12,0.18566286229293205,Bachelors,Part-time,Divorced,No,Yes,Home,Yes,0
55,114608,47851,410,236,6,26.515294690302568,120,0.567120005001266,PhD,Part-time,Married,No,Yes,Other,No,0
62,75774,494158,438,385,14,19.81180564736357,36,0.6589955695298397,Bachelors,Full-time,Single,Yes,No,Education,Yes,0
68,38752,55823,734,299,6,27.07821863038687,240,0.6856232226644624,PhD,Part-time,Married,No,No,Auto,Yes,0
71,70029,24312,808,394,17,19.081654026172778,24,0.3320857414839461,PhD,Part-time,Divorced,Yes,Yes,Business,Yes,0
25,145282,437324,572,206,10,4.8073511881399025,24,0.07147192183349348,High School,Self-employed,Single,Yes,Yes,Other,Yes,1
44,66693,461134,398,335,1,9.981059622050484,12,0.350225181839696,Masters,Unemployed,Married,Yes,Yes,Home,Yes,0
44,131739,428387,403,592,3,6.852053499321251,240,0.18458767216564304,High School,Self-employed,Single,Yes,Yes,Other,Yes,0
51,70961,435995,513,513,8,27.355968433789005,360,0.23295716399729935,High School,Unemployed,Single,Yes,No,Other,No,0
38,141678,200900,464,177,8,23.051601951337,120,0.6178140454700047,High School,Self-employed,Married,No,Yes,Home,Yes,0
47,89532,361867,819,395,15,20.615552698390175,12,0.0604216688207095,PhD,Full-time,Married,No,No,Home,Yes,0
50,96994,275555,583,370,7,9.72802326931703,12,0.6620649739845618,High School,Part-time,Divorced,Yes,No,Auto,Yes,0
45,71133,497037,816,317,11,6.337298389456192,120,0.3421352686593353,PhD,Unemployed,Divorced,No,No,Business,No,0
64,76268,250062,463,368,7,22.937081551678443,36,0.4768511448804761,Masters,Full-time,Single,No,Yes,Auto,Yes,0
50,46653,320153,363,383,4,14.75058043049331,24,0.0717217849885432,PhD,Part-time,Divorced,Yes,Yes,Auto,No,1
22,136829,409638,390,61,12,7.547897012368245,36,0.2698872626858237,PhD,Part-time,Single,No,No,Home,Yes,0
77,143377,436684,416,504,6,18.88203736679298,240,0.07176073521187663,Bachelors,Part-time,Single,No,No,Home,Yes,0
78,16622,33371,566,238,14,2.169681712015107,360,0.7692349783048877,High School,Self-employed,Divorced,Yes,No,Business,No,1
65,63756,58022,439,194,12,10.458937369719353,60,0.6458093194610004,High School,Full-time,Divorced,Yes,No,Other,No,0
36,55809,334373,545,221,11,14.588152843142904,60,0.3677062034851682,High School,Full-time,Divorced,Yes,No,Auto,Yes,1
21,31725,100071,694,60,19,5.290791689172769,60,0.1788820386589369,High School,Part-time,Married,Yes,Yes,Business,No,0
